Source,string_generic,count_0,count_1,count_g,count_f,count_.,count_i,count_space,count_4,count_k,count_8,count_5,count_q,count_r,count_p,"count_,",count_j,count_m,count_2,count_c,count_b,count_n,count_3,count_d,count_h,count_l,count_7,count_a,count_o,count_6,count_e
ABC10,kbikal3 4i3bl ko082dk33.,1,0,0,0,1,2,2,1,4,1,0,0,0,0,0,0,0,1,0,2,0,4,1,0,2,0,1,1,0,0
NTN1,4i3al kfibl3 20ejgdk03.,2,0,1,1,1,2,2,1,2,0,0,0,0,0,0,1,0,1,0,1,0,3,1,0,2,0,1,0,0,1
NTN2,dq8al af8flc 18dk31.,0,2,0,2,1,0,2,0,1,3,0,1,0,0,0,0,0,0,1,0,0,1,2,0,2,0,2,0,0,0
NTN3,dq8al n8af8flc 18dk31.,0,2,0,2,1,0,2,0,1,4,0,1,0,0,0,0,0,0,1,0,1,1,2,0,2,0,2,0,0,0
NTE1,4i3al kfibl3 3mgoodk13 2oijgri 20qjgh08 dq8al 4i385 n8af8pk31.,2,2,3,2,1,5,7,2,3,5,1,2,1,1,0,2,1,2,0,1,1,6,2,1,3,0,3,3,0,0
NTE2,4i3al kfibl3 3mgoodk13 2oijgri,0,1,2,1,0,4,3,1,2,0,0,0,1,0,0,1,1,1,0,1,0,4,1,0,2,0,1,3,0,0
NTE3,dq8al 4i385 n8af8dk31 20qjgh08 4i3al n8b87dk03.,3,1,1,1,1,2,5,2,2,7,1,2,0,0,0,1,0,1,0,1,2,4,3,1,2,1,3,0,0,0
NTW1,kfial3 dq8bl n8af8flc 20qjgpk03.,2,0,1,3,1,1,3,0,2,3,0,2,0,1,0,1,0,1,1,1,1,2,1,0,3,0,2,0,0,0
NTW2,4i3al kfial3 20qjgh08 dq8al n8af8pk31.,2,1,1,2,1,2,4,1,2,4,0,2,0,1,0,1,0,1,0,0,1,3,1,1,3,0,4,0,0,0
NTO1,al kfibl3 n8o8agdk31.,0,1,1,1,1,1,2,0,2,2,0,0,0,0,0,0,0,0,0,1,1,2,1,0,2,0,2,1,0,0
NTO2,al n8b87bl n8o8agdk31.,0,1,1,0,1,0,2,0,1,4,0,0,0,0,0,0,0,0,0,2,2,1,1,0,2,1,2,1,0,0
CR1,n8p0pal3 e0j p0pbl n8p0pfl n8p0pflc o8agdk33.,5,0,1,2,1,0,5,0,1,4,0,0,0,8,0,1,0,0,1,1,3,3,1,0,4,0,2,1,0,1
CR2,n8p0pal3 e0j k80cbl e0j qjgdk33.,4,0,1,0,1,0,4,0,2,2,0,1,0,2,0,3,0,0,1,1,1,3,1,0,2,0,1,0,0,2
CR3,n8p0pal3 e0j ko8bl kiib 2ib 2ib3dk33.,2,0,0,0,1,4,5,0,3,2,0,0,0,2,0,1,0,2,0,4,1,4,1,0,2,0,1,1,0,1
CR4,"bgkfo0b0al3 4i385, b07kflc 1gdk33.",3,1,2,2,1,1,3,1,3,1,1,0,0,0,1,0,0,0,1,3,0,4,1,0,2,1,1,1,0,0
CR5,n8p0pal3 e0j p0pbl n8p0pflc kiib 2ib3dk33.,4,0,0,1,1,3,5,0,2,2,0,0,0,6,0,1,0,1,1,3,2,4,1,0,3,0,1,0,0,1
CR6,n8p0pal3 4i3bl n8o8agdk33.,1,0,1,0,1,1,2,1,1,3,0,0,0,2,0,0,0,0,0,1,2,4,1,0,2,0,2,1,0,0
ICE1,"p0pal e0j, n8p0pflc 1gdk31 h082 p0pal e0j, p0pflc 1gdk31.",7,4,2,2,1,0,8,0,2,2,0,0,0,8,2,2,0,1,2,0,1,2,2,1,4,0,2,0,0,2
ICE2,"p0pal e0j, p0pflc qgh7ri 1gdk31.",3,2,2,1,1,1,4,0,1,0,0,1,1,4,1,1,0,0,1,0,0,1,1,1,2,1,1,0,0,1
ICE3,"p0pal e0j, p0pbl bgkf85 6ii3flc j0bgri 1gdk31.",4,2,3,2,1,3,6,0,2,1,1,0,1,4,1,2,0,0,1,3,0,2,1,0,3,0,1,0,1,1
ICE4,pb8ko8al n8p0pflc 1gdk31.,1,2,1,1,1,0,2,0,2,3,0,0,0,3,0,0,0,0,1,1,1,1,1,0,2,0,1,1,0,0
ICE5,pb8ko8al p0pflc 1gdk31.,1,2,1,1,1,0,2,0,2,2,0,0,0,3,0,0,0,0,1,1,0,1,1,0,2,0,1,1,0,0
ICE6,"bgkfo0b0al3 4i385, 0b0f3flc 1gdk33.",4,1,2,3,1,1,3,1,2,1,1,0,0,0,1,0,0,0,1,3,0,5,1,0,2,0,1,1,0,0
ICE7,bgkfo0b0al3 4i385 k80cbl 20qjgdk03.,5,0,2,1,1,1,3,1,3,2,1,1,0,0,0,1,0,1,1,3,0,3,1,0,2,0,1,1,0,0
ICE8,k80cal e0j pb8ko8bl kiib ri8cdk31.,2,1,0,0,1,3,4,0,4,4,0,0,1,1,0,1,0,0,2,3,0,1,1,0,2,0,1,1,0,1
ICE9,k80cal e0j ko8hl  kiib pb8ko8b kiib ri8cdk31.,2,1,0,0,1,5,7,0,6,5,0,0,1,1,0,1,0,0,2,4,0,1,1,1,2,0,1,2,0,1
ICE10,4i3al k80cbl e0j qj8dk03.,3,0,0,0,1,1,3,1,2,2,0,1,0,0,0,2,0,0,1,1,0,2,1,0,2,0,1,0,0,1
